,t,N_pump,p_pump,eta_pump,tau_pump,tau_turbine,T_gg_comb,Pcc_gg,MR_gg,dp_dt_gg,m_dot_gg_inj_fu,m_dot_gg_inj_ox,p_gg_inj_ox,p_gg_inj_fu,T_me_comb,Pcc_me,MR_me,dp_dt_me,m_dot_me_inj_fu,m_dot_me_inj_ox,p_me_inj_ox,p_me_inj_fu,m_dot_gg_mov,m_dot_gg_mfv,m_dot_me_mov,m_dot_me_mfv
19,[0.05296861],[2405.18517604],3000000.0,[0.],[3.38664514e-10],[0.10813387],1336.224467762644,[257775.34809582],[2.09988472],[88225916.23154123],[0.00334144],[0.00701663],[597938.07455238],[337942.71084151],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03586318],[0.02781033],[0.],[0.]
20,[0.05305425],[2405.18517604],3000000.0,[0.],[3.62472075e-10],[0.11657825],1367.8748600814233,[265798.7000815],[2.14565573],[88167986.35596634],[0.00328326],[0.00704475],[608557.71648892],[343351.39662748],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03767875],[0.02922083],[0.],[0.]
21,[0.05313522],[2405.18517604],3000000.0,[0.],[3.86641194e-10],[0.12471199],1396.6490560649368,[273348.9393772],[2.18827071],[88154882.05885114],[0.00323417],[0.00707723],[619133.76219899],[348728.35043638],0,100000.0,0,0,0,0,[100000.],[100000.],[0.03947589],[0.03061733],[0.],[0.]
22,[0.05321206],[2405.18517604],3000000.0,[0.],[4.11088342e-10],[0.13257991],1422.662675482942,[280486.8785655],[2.22766227],[88182529.27263135],[0.00319323],[0.00711343],[629671.60862582],[354076.72759591],0,100000.0,0,0,0,0,[100000.],[100000.],[0.04125464],[0.03199987],[0.],[0.]
23,[0.05328521],[2405.18517604],3000000.0,[0.],[4.35751337e-10],[0.14022005],1446.04361937649,[287262.62524658],[2.26380235],[88247731.34570123],[0.00315966],[0.00715284],[640175.70232095],[359399.17933059],0,100000.0,0,0,0,0,[100000.],[100000.],[0.04301508],[0.03336851],[0.],[0.]
24,[0.05335505],[2405.18517604],3000000.0,[0.],[4.60583791e-10],[0.14766476],1466.930084566927,[293717.97195058],[2.29670155],[88347897.21078509],[0.00313275],[0.007195],[650649.75121569],[364697.96207649],0,100000.0,0,0,0,0,[100000.],[100000.],[0.04475729],[0.03472331],[0.],[0.]
25,[0.0534219],[2405.18517604],3000000.0,[0.],[4.85551103e-10],[0.15494155],1485.4678829357686,[299888.14924356],[2.32640669],[88480837.94804297],[0.0031119],[0.00723955],[661096.88032723],[369975.01841059],0,100000.0,0,0,0,0,[100000.],[100000.],[0.04648136],[0.03606433],[0.],[0.]
26,[0.05348604],[2405.18517604],3000000.0,[0.],[5.10627541e-10],[0.16207389],1501.8075066234296,[305803.13483255],[2.35299708],[88644618.78968216],[0.00309655],[0.00728617],[671519.74835828],[375232.03797423],0,100000.0,0,0,0,0,[100000.],[100000.],[0.04818739],[0.03739167],[0.],[0.]
27,[0.0535477],[2405.18517604],3000000.0,[0.],[5.35794096e-10],[0.1690818],1516.1012562693136,[311488.64710954],[2.37657995],[88837456.03278765],[0.00308619],[0.00733459],[681920.63644149],[380470.50401438],0,100000.0,0,0,0,0,[100000.],[100000.],[0.04987549],[0.03870539],[0.],[0.]
28,[0.05360711],[2405.18517604],3000000.0,[0.],[5.61036875e-10],[0.17598239],1528.5006386464863,[316966.91057907],[2.39728545],[89057649.55153596],[0.00308038],[0.00738456],[692301.51666986],[385691.72940665],0,100000.0,0,0,0,0,[100000.],[100000.],[0.05154576],[0.04000558],[0.],[0.]
29,[0.05366443],[2405.18517604],3000000.0,[0.],[5.86345894e-10],[0.18279025],1539.1541501839354,[322257.25381994],[2.41526151],[89303542.63187957],[0.00307871],[0.00743588],[702664.10571129],[390896.88487031],0,100000.0,0,0,0,0,[100000.],[100000.],[0.05319832],[0.04129233],[0.],[0.]
30,[0.05371984],[2405.18517604],3000000.0,[0.],[6.11714165e-10],[0.1895179],1548.20549213088,[327376.58273379],[2.43066879],[89573501.78924811],[0.00308079],[0.00748838],[713009.90724998],[396087.02131104],0,100000.0,0,0,0,0,[100000.],[100000.],[0.05483329],[0.04256574],[0.],[0.]
31,[0.05377348],[2405.18517604],3000000.0,[0.],[6.37136997e-10],[0.196176],1555.7922153915308,[332339.75964515],[2.44367611],[89865910.42908882],[0.00308629],[0.00754189],[723340.24594365],[401263.08769575],0,100000.0,0,0,0,0,[100000.],[100000.],[0.05645078],[0.04382589],[0.],[0.]
32,[0.05382547],[2405.18517604],3000000.0,[0.],[6.62611459e-10],[0.20277369],1562.0447617566176,[337159.91039263],[2.45445628],[90179171.37723081],[0.00309489],[0.00759628],[733656.29485797],[406425.94549277],0,100000.0,0,0,0,0,[100000.],[100000.],[0.05805093],[0.04507288],[0.],[0.]
33,[0.05387594],[2405.18517604],3000000.0,[0.],[6.88135964e-10],[0.20931877],1567.0858514820318,[341848.67564581],[2.46318255],[90511714.45868818],[0.00310632],[0.00765142],[743959.0978292],[411576.38044654],0,100000.0,0,0,0,0,[100000.],[100000.],[0.05963386],[0.04630682],[0.],[0.]
34,[0.05392498],[2405.18517604],3000000.0,[0.],[7.13709956e-10],[0.21581793],1571.0301605061766,[346416.41849431],[2.47002568],[90862006.33833785],[0.0031203],[0.00770722],[754249.58784202],[416715.11226542],0,100000.0,0,0,0,0,[100000.],[100000.],[0.06119969],[0.04752779],[0.],[0.]
35,[0.05397269],[2405.18517604],3000000.0,[0.],[7.39333655e-10],[0.22227689],1573.984230734,[350872.39735461],[2.4751516],[91228560.7095101],[0.0031366],[0.00776357],[764528.60224679],[421842.8026622],0,100000.0,0,0,0,0,[100000.],[100000.],[0.06274856],[0.0487359],[0.],[0.]
36,[0.05401915],[2405.18517604],3000000.0,[0.],[7.65007867e-10],[0.22870056],1576.0465610510205,[355224.91106692],[2.47871953],[91609947.61307956],[0.00315501],[0.00782039],[774796.89544751],[426960.06208378],0,100000.0,0,0,0,0,[100000.],[100000.],[0.06428059],[0.04993125],[0.],[0.]
37,[0.05406444],[2405.18517604],3000000.0,[0.],[7.90733838e-10],[0.23509313],1577.3078330987164,[359481.4214647],[2.48088078],[92004801.19821653],[0.00317533],[0.00787761],[785055.14954951],[432067.45538961],0,100000.0,0,0,0,0,[100000.],[100000.],[0.06579592],[0.05111393],[0.],[0.]
38,[0.05410864],[2405.18517604],3000000.0,[0.],[8.16513133e-10],[0.24145822],1577.8512329948649,[363648.65752515],[2.48177778],[92411825.61750126],[0.00319737],[0.00793517],[795303.98334862],[437165.50668072],0,100000.0,0,0,0,0,[100000.],[100000.],[0.06729468],[0.05228406],[0.],[0.]
39,[0.0541518],[2405.18517604],3000000.0,[0.],[8.42347549e-10],[0.24779894],1577.7528372419824,[367732.70433131],[2.48154363],[92829799.00786524],[0.00322098],[0.007993],[805543.95996272],[442254.70343708],0,100000.0,0,0,0,0,[100000.],[100000.],[0.068777],[0.05344173],[0.],[0.]
40,[0.05419398],[2405.18517604],3000000.0,[0.],[8.68239044e-10],[0.25411798],1577.082037560794,[371739.07941436],[2.48030187],[93257575.67323226],[0.003246],[0.00805106],[815775.59334478],[447335.50008754],0,100000.0,0,0,0,0,[100000.],[100000.],[0.07024302],[0.05458705],[0.],[0.]
41,[0.05423524],[2405.18517604],3000000.0,[0.],[8.94189686e-10],[0.26041766],1575.901985064048,[375672.7985389],[2.47816646],[93694086.67786555],[0.00327229],[0.00810929],[825999.35386856],[452408.32111089],0,100000.0,0,0,0,0,[100000.],[100000.],[0.07169286],[0.05572012],[0.],[0.]
42,[0.05427562],[2405.18517604],3000000.0,[0.],[9.2020161e-10],[0.26669999],1574.2700389807494,[379538.43260364],[2.47524204],[94138339.10241427],[0.00329974],[0.00816766],[836215.67314129],[457473.56374644],0,100000.0,0,0,0,0,[100000.],[100000.],[0.07312666],[0.05684103],[0.],[0.]
43,[0.05431518],[2405.18517604],3000000.0,[0.],[9.46276987e-10],[0.27296673],1572.2382090771598,[383340.15702501],[2.47162422],[94589414.22374779],[0.00332822],[0.00822612],[846424.94816818],[462531.60037724],0,100000.0,0,0,0,0,[100000.],[100000.],[0.07454456],[0.0579499],[0.],[0.]
44,[0.05435395],[2405.18517604],3000000.0,[0.],[9.72417999e-10],[0.2792194],1569.8535840789898,[387081.79473091],[2.4674],[95046464.8674565],[0.00335764],[0.00828465],[856627.54497101],[467582.78063672],0,100000.0,0,0,0,0,[100000.],[100000.],[0.07594668],[0.05904682],[0.],[0.]
45,[0.05439197],[2405.18517604],3000000.0,[0.],[9.98626825e-10],[0.28545936],1567.1587408813975,[390766.85369983],[2.46264831],[95508712.15739115],[0.00338791],[0.00834322],[866823.80174445],[472627.43328028],0,100000.0,0,0,0,0,[100000.],[100000.],[0.07733316],[0.06013191],[0.],[0.]
46,[0.05442929],[2405.18517604],3000000.0,[0.],[1.02490562e-09],[0.29168778],1564.1921312516772,[394398.55982647],[2.45744049],[95975441.85666215],[0.00341892],[0.0084018],[877014.03161939],[477665.86785554],0,100000.0,0,0,0,0,[100000.],[100000.],[0.07870413],[0.06120525],[0.],[0.]
47,[0.05446593],[2405.18517604],3000000.0,[0.],[1.05125652e-09],[0.29790572],1560.9884441775912,[397979.88576947],[2.45184082],[96446000.46240565],[0.00345062],[0.00846036],[887198.52509052],[482698.37619927],0,100000.0,0,0,0,0,[100000.],[100000.],[0.08005973],[0.06226695],[0.],[0.]
48,[0.05450192],[2405.18517604],3000000.0,[0.],[1.07768162e-09],[0.30411409],1557.5789430970017,[401513.57633444],[2.44590711],[96919791.18642718],[0.00348292],[0.00851889],[897377.55215614],[487725.23378413],0,100000.0,0,0,0,0,[100000.],[100000.],[0.08140008],[0.06331711],[0.],[0.]
49,[0.0545373],[2405.18517604],3000000.0,[0.],[1.10418298e-09],[0.31031374],1553.9917780261956,[405002.17086092],[2.43969121],[97396269.92569931],[0.00351576],[0.00857736],[907551.36421012],[492746.70093445],0,100000.0,0,0,0,0,[100000.],[100000.],[0.08272532],[0.06435583],[0.],[0.]
50,[0.05457209],[2405.18517604],3000000.0,[0.],[1.1307626e-09],[0.3165054],1550.2522731597312,[408448.02301161],[2.43323949],[97874941.3022758],[0.00354908],[0.00863577],[917720.19571984],[497763.0239274],0,100000.0,0,0,0,0,[100000.],[100000.],[0.08403557],[0.06538322],[0.],[0.]
51,[0.05460633],[2405.18517604],3000000.0,[0.],[1.15742246e-09],[0.32268975],1546.3831908919042,[411853.31830407],[2.42659337],[98355354.83123648],[0.00358283],[0.00869408],[927884.2657185],[502774.43599319],0,100000.0,0,0,0,0,[100000.],[100000.],[0.08533097],[0.06639937],[0.],[0.]
52,[0.05464002],[2405.18517604],3000000.0,[0.],[1.18416448e-09],[0.32886739],1542.4049734657192,[415220.08967549],[2.41978974],[98837101.25895485],[0.00361697],[0.0087523],[938043.77913598],[507781.15822601],0,100000.0,0,0,0,0,[100000.],[100000.],[0.08661165],[0.06740439],[0.],[0.]
53,[0.0546732],[2405.18517604],3000000.0,[0.],[1.21099055e-09],[0.33503887],1538.3359635359627,[418550.2313305],[2.41286141],[99319809.0945059],[0.00365143],[0.0088104],[948198.92798881],[512783.40041571],0,100000.0,0,0,0,0,[100000.],[100000.],[0.08787773],[0.06839836],[0.],[0.]
54,[0.05470588],[2405.18517604],3000000.0,[0.],[1.2379025e-09],[0.3412047],1534.1926052314743,[421845.51108654],[2.40583749],[99803141.36482045],[0.00368619],[0.00886838],[958349.89244678],[517781.36180876],0,100000.0,0,0,0,0,[100000.],[100000.],[0.08912935],[0.06938139],[0.],[0.]
55,[0.05473809],[2405.18517604],3000000.0,[0.],[1.26490211e-09],[0.34736534],1529.9896268051257,[425107.5814023],[2.39874378],[1.00286793e+08],[0.00372121],[0.00892623],[968496.84179131],[522775.231806],0,100000.0,0,0,0,0,[100000.],[100000.],[0.09036662],[0.07035358],[0.],[0.]
56,[0.05476985],[2405.18517604],3000000.0,[0.],[1.29199115e-09],[0.35352122],1525.7402066614336,[428337.98924872],[2.39160306],[1.00770486e+08],[0.00375645],[0.00898393],[978639.93527846],[527765.19060368],0,100000.0,0,0,0,0,[100000.],[100000.],[0.09158968],[0.07131503],[0.],[0.]
57,[0.05480117],[2405.18517604],3000000.0,[0.],[1.31917132e-09],[0.35967273],1521.4561239426985,[431538.18496173],[2.38443543],[1.01253971e+08],[0.00379188],[0.00904148],[988779.32291784],[532751.40978325],0,100000.0,0,0,0,0,[100000.],[100000.],[0.09279866],[0.07226582],[0.],[0.]
58,[0.05483207],[2405.18517604],3000000.0,[0.],[1.34644429e-09],[0.36582024],1517.1478948034644,[434709.53019675],[2.37725857],[1.0173702e+08],[0.00382747],[0.00909888],[998915.14617704],[537734.05285514],0,100000.0,0,0,0,0,[100000.],[100000.],[0.09399367],[0.07320606],[0.],[0.]
59,[0.05486257],[2405.18517604],3000000.0,[0.],[1.3738117e-09],[0.37196409],1512.8248963353396,[437853.30508917],[2.37008801],[1.02219427e+08],[0.00386319],[0.00915611],[1009047.53862001],[542713.27576067],0,100000.0,0,0,0,0,[100000.],[100000.],[0.09517485],[0.07413584],[0.],[0.]
60,[0.05489268],[2405.18517604],3000000.0,[0.],[1.40127514e-09],[0.3781046],1508.4954774933412,[440970.71471339],[2.36293733],[1.02701008e+08],[0.00389903],[0.00921317],[1019176.62648664],[547689.22733612],0,100000.0,0,0,0,0,[100000.],[100000.],[0.0963423],[0.07505525],[0.],[0.]
