,t,N_pump,p_pump,eta_pump,tau_pump,tau_turbine,T_gg_comb,Pcc_gg,MR_gg,dp_dt_gg,m_dot_gg_inj_fu,m_dot_gg_inj_ox,p_gg_inj_ox,p_gg_inj_fu,T_me_comb,Pcc_me,MR_me,dp_dt_me,m_dot_me_inj_fu,m_dot_me_inj_ox,p_me_inj_ox,p_me_inj_fu,m_dot_gg_mov,m_dot_gg_mfv,m_dot_me_mov,m_dot_me_mfv
184,[0.05746321],[2405.18517604],3000000.0,[0.],[5.93176121e-09],[1.15227095],[1228.42583686],[763532.10234958],[1.95180141],[1.45528562e+08],[0.00764774],[0.01492688],[2264707.50144565],[1159941.24679786],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16613212],[0.13268639],[0.],[0.]
185,[0.05748055],[2405.18517604],3000000.0,[0.],[5.98016002e-09],[1.15874547],[1227.51885174],[766056.94815252],[1.95058938],[1.45741046e+08],[0.00767167],[0.01496428],[2274714.81540964],[1164920.79064879],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16628012],[0.13284163],[0.],[0.]
186,[0.05749787],[2405.18517604],3000000.0,[0.],[6.02879522e-09],[1.16522456],[1226.62224774],[768583.63242757],[1.94939122],[1.45951655e+08],[0.00769552],[0.01500158],[2284721.8380789],[1169901.78827789],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16642368],[0.13299359],[0.],[0.]
187,[0.05751518],[2405.18517604],3000000.0,[0.],[6.07766803e-09],[1.17170823],[1225.73586351],[771112.19227711],[1.9482067],[1.46160394e+08],[0.00771929],[0.01503878],[2294728.57245446],[1174884.2545469],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16656285],[0.13314233],[0.],[0.]
188,[0.05753248],[2405.18517604],3000000.0,[0.],[6.12677971e-09],[1.17819261],[1224.84913389],[773642.6643278],[1.94703563],[1.46366137e+08],[0.00774299],[0.01507588],[2304735.02147927],[1179868.20431545],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16669767],[0.13328786],[0.],[0.]
189,[0.05754978],[2405.18517604],3000000.0,[0.],[6.17613136e-09],[1.18467514],[1223.95525711],[776175.06525213],[1.94587776],[1.4656816e+08],[0.00776661],[0.01511287],[2314741.18803308],[1184853.65243596],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16682816],[0.13343021],[0.],[0.]
190,[0.05756706],[2405.18517604],3000000.0,[0.],[6.22572396e-09],[1.19116214],[1223.07138104],[778709.3987464],[1.94473283],[1.46768344e+08],[0.00779015],[0.01514976],[2324747.07493589],[1189840.61375458],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16695436],[0.13356941],[0.],[0.]
191,[0.05758433],[2405.18517604],3000000.0,[0.],[6.27555878e-09],[1.19765362],[1222.1973527],[781245.7005562],[1.94360064],[1.4696669e+08],[0.00781362],[0.01518655],[2334752.6849637],[1194829.10312801],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16707632],[0.13370548],[0.],[0.]
192,[0.05760159],[2405.18517604],3000000.0,[0.],[6.32563709e-09],[1.20414956],[1221.33302621],[783784.00598204],[1.94248099],[1.47163202e+08],[0.00783701],[0.01522324],[2344758.02083897],[1199819.13542051],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16719406],[0.13383846],[0.],[0.]
193,[0.05761884],[2405.18517604],3000000.0,[0.],[6.37596017e-09],[1.21064998],[1220.47825459],[786324.34991997],[1.9413737],[1.47357881e+08],[0.00786033],[0.01525984],[2354763.0852316],[1204810.72550617],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16730761],[0.13396837],[0.],[0.]
194,[0.05763609],[2405.18517604],3000000.0,[0.],[6.4265293e-09],[1.21715487],[1219.63289354],[788866.76684977],[1.94027859],[1.47550731e+08],[0.00788357],[0.01529633],[2364767.88075997],[1209803.88827121],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16741702],[0.13409523],[0.],[0.]
195,[0.05765333],[2405.18517604],3000000.0,[0.],[6.47734578e-09],[1.22366424],[1218.79680133],[791411.29084522],[1.93919546],[1.47741752e+08],[0.00790674],[0.01533272],[2374772.40999194],[1214798.63861623],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16752231],[0.13421908],[0.],[0.]
196,[0.05767056],[2405.18517604],3000000.0,[0.],[6.52841089e-09],[1.23017807],[1217.96983877],[793957.95558425],[1.93812414],[1.47930949e+08],[0.00792984],[0.01536902],[2384776.67544581],[1219794.99145836],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16762352],[0.13433993],[0.],[0.]
197,[0.05768778],[2405.18517604],3000000.0,[0.],[6.57972594e-09],[1.23669638],[1217.15186916],[796506.79435876],[1.93706445],[1.48118322e+08],[0.00795287],[0.01540522],[2394780.6795912],[1224792.96173356],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16772069],[0.13445781],[0.],[0.]
198,[0.057705],[2405.18517604],3000000.0,[0.],[6.63129225e-09],[1.24321916],[1216.34275822],[799057.84008423],[1.93601622],[1.48303874e+08],[0.00797582],[0.01544132],[2404784.42485003],[1229792.5643987],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16781384],[0.13457275],[0.],[0.]
199,[0.05772221],[2405.18517604],3000000.0,[0.],[6.68311113e-09],[1.24974641],[1215.54237403],[801611.1253091],[1.93497927],[1.48487608e+08],[0.0079987],[0.01547733],[2414787.91359736],[1234793.81443382],0,100000.0,0,0,0,0,[100000.],[100000.],[0.167903],[0.13468478],[0.],[0.]
200,[0.05773941],[2405.18517604],3000000.0,[0.],[6.73518391e-09],[1.25627813],[1214.75058701],[804166.68222398],[1.93395344],[1.48669524e+08],[0.00802151],[0.01551324],[2424791.14816224],[1239796.7268442],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16798821],[0.13479391],[0.],[0.]
201,[0.05775661],[2405.18517604],3000000.0,[0.],[6.78751191e-09],[1.26281431],[1213.96726982],[806724.54267061],[1.93293857],[1.48849626e+08],[0.00804425],[0.01554905],[2434794.13082858],[1244801.31666251],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16806951],[0.13490018],[0.],[0.]
202,[0.05777381],[2405.18517604],3000000.0,[0.],[6.84009649e-09],[1.26935496],[1213.19229737],[809284.73815061],[1.93193449],[1.49027915e+08],[0.00806693],[0.01558477],[2444796.86383594],[1249807.59895097],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16814691],[0.1350036],[0.],[0.]
203,[0.057791],[2405.18517604],3000000.0,[0.],[6.89293898e-09],[1.27590007],[1212.42554671],[811847.29983409],[1.93094104],[1.49204394e+08],[0.00808953],[0.0156204],[2454799.3493803],[1254815.58880338],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16822046],[0.1351042],[0.],[0.]
204,[0.05780818],[2405.18517604],3000000.0,[0.],[6.94604074e-09],[1.28244964],[1211.66689703],[814412.258568],[1.92995807],[1.49379064e+08],[0.00811206],[0.01565593],[2464801.58961489],[1259825.30134728],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16829018],[0.135202],[0.],[0.]
205,[0.05782537],[2405.18517604],3000000.0,[0.],[6.99940313e-09],[1.28900367],[1210.9162296],[816979.64488437],[1.92898543],[1.49551928e+08],[0.00813452],[0.01569137],[2474803.58665086],[1264836.75174595],0,100000.0,0,0,0,0,[100000.],[100000.],[0.1683561],[0.13529703],[0.],[0.]
206,[0.05784255],[2405.18517604],3000000.0,[0.],[7.05302753e-09],[1.29556216],[1210.17342769],[819549.48900834],[1.92802295],[1.49722987e+08],[0.00815691],[0.01572671],[2484805.34255808],[1269849.95520057],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16841825],[0.13538931],[0.],[0.]
207,[0.05785973],[2405.18517604],3000000.0,[0.],[7.1069153e-09],[1.3021251],[1209.43837659],[822121.82086598],[1.9270705],[1.49892243e+08],[0.00817924],[0.01576197],[2494806.85936579],[1274864.92695221],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16847667],[0.13547886],[0.],[0.]
208,[0.0578769],[2405.18517604],3000000.0,[0.],[7.16106785e-09],[1.30869249],[1208.71096352],[824696.67009207],[1.92612793],[1.50059698e+08],[0.0082015],[0.01579713],[2504808.13906333],[1279881.68228391],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16853137],[0.13556571],[0.],[0.]
209,[0.05789408],[2405.18517604],3000000.0,[0.],[7.21548655e-09],[1.31526432],[1207.9910776],[827274.06603755],[1.92519509],[1.50225354e+08],[0.00822369],[0.0158322],[2514809.18360077],[1284900.23652272],0,100000.0,0,0,0,0,[100000.],[100000.],[0.1685824],[0.13564988],[0.],[0.]
210,[0.05791125],[2405.18517604],3000000.0,[0.],[7.27017281e-09],[1.32184061],[1207.27860982],[829854.03777699],[1.92427185],[1.50389214e+08],[0.00824581],[0.01586718],[2524809.9948896],[1289920.60504174],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16862977],[0.13573138],[0.],[0.]
211,[0.05792842],[2405.18517604],3000000.0,[0.],[7.32512804e-09],[1.32842133],[1206.57345297],[832436.61411578],[1.92335806],[1.50551278e+08],[0.00826787],[0.01590207],[2534810.57480337],[1294942.80326214],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16867352],[0.13581025],[0.],[0.]
212,[0.05794559],[2405.18517604],3000000.0,[0.],[7.38035367e-09],[1.3350065],[1205.87550884],[835021.82359724],[1.92245359],[1.50711548e+08],[0.00828986],[0.01593687],[2544810.92517825],[1299966.84665521],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16871367],[0.1358865],[0.],[0.]
213,[0.05796276],[2405.18517604],3000000.0,[0.],[7.43585111e-09],[1.3415961],[1205.18467121],[837609.69450933],[1.92155831],[1.50870027e+08],[0.00831179],[0.01597159],[2554811.04781369],[1304992.75074437],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16875026],[0.13596016],[0.],[0.]
214,[0.05797993],[2405.18517604],3000000.0,[0.],[7.4916218e-09],[1.34819013],[1204.50083448],[840200.25489358],[1.92067208],[1.51026716e+08],[0.00833365],[0.01600621],[2564810.94447297],[1310020.53110721],0,100000.0,0,0,0,0,[100000.],[100000.],[0.1687833],[0.13603124],[0.],[0.]
215,[0.0579971],[2405.18517604],3000000.0,[0.],[7.54766718e-09],[1.35478858],[1203.82389835],[842793.53255039],[1.91979477],[1.51181616e+08],[0.00835545],[0.01604074],[2574810.6168838],[1315050.20337747],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16881283],[0.13609977],[0.],[0.]
216,[0.05801428],[2405.18517604],3000000.0,[0.],[7.60398872e-09],[1.36139147],[1203.15376413],[845389.55504512],[1.91892626],[1.5133473e+08],[0.00837718],[0.01607519],[2584810.06673884],[1320081.78324714],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16883887],[0.13616576],[0.],[0.]
217,[0.05803145],[2405.18517604],3000000.0,[0.],[7.66058787e-09],[1.36799877],[1202.49033475],[847988.34971457],[1.91806641],[1.51486059e+08],[0.00839885],[0.01610955],[2594809.29569624],[1325115.28646839],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16886145],[0.13622924],[0.],[0.]
218,[0.05804863],[2405.18517604],3000000.0,[0.],[7.71746609e-09],[1.37461049],[1201.83351471],[850589.94367331],[1.91721512],[1.51635605e+08],[0.00842045],[0.01614382],[2604808.30538021],[1330150.72885567],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16888059],[0.13629024],[0.],[0.]
219,[0.0580658],[2405.18517604],3000000.0,[0.],[7.77462488e-09],[1.38122661],[1201.18321002],[853194.36381986],[1.91637224],[1.51783368e+08],[0.00844199],[0.016178],[2614807.09738147],[1335188.12628768],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16889633],[0.13634876],[0.],[0.]
220,[0.05808298],[2405.18517604],3000000.0,[0.],[7.83206571e-09],[1.38784715],[1200.53932821],[855801.63684287],[1.91553768],[1.51929352e+08],[0.00846347],[0.0162121],[2624805.67325778],[1340227.49470943],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16890868],[0.13640482],[0.],[0.]
221,[0.05810017],[2405.18517604],3000000.0,[0.],[7.8897901e-09],[1.39447209],[1199.90177828],[858411.78922708],[1.9147113],[1.52073556e+08],[0.00848489],[0.01624611],[2634804.03453441],[1345268.85013426],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16891767],[0.13645846],[0.],[0.]
222,[0.05811735],[2405.18517604],3000000.0,[0.],[7.94779954e-09],[1.40110142],[1199.27047065],[861024.84725925],[1.91389299],[1.52215983e+08],[0.00850624],[0.01628004],[2644802.1827046],[1350312.2086459],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16892332],[0.13650968],[0.],[0.]
223,[0.05813454],[2405.18517604],3000000.0,[0.],[8.00609555e-09],[1.40773515],[1198.64531716],[863640.83703398],[1.91308264],[1.52356635e+08],[0.00852754],[0.01631388],[2654800.11923005],[1355357.58640047],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16892567],[0.13655851],[0.],[0.]
224,[0.05815174],[2405.18517604],3000000.0,[0.],[8.06467966e-09],[1.41437326],[1198.02623104],[866259.78445941],[1.91228014],[1.52495511e+08],[0.00854877],[0.01634764],[2664797.84554134],[1360404.99962857],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16892472],[0.13660497],[0.],[0.]
225,[0.05816893],[2405.18517604],3000000.0,[0.],[8.12355341e-09],[1.42101576],[1197.41312684],[868881.71526287],[1.91148537],[1.52632615e+08],[0.00856994],[0.01638131],[2674795.36303833],[1365454.4646373],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16892052],[0.13664906],[0.],[0.]
226,[0.05818614],[2405.18517604],3000000.0,[0.],[8.18271834e-09],[1.42766263],[1196.80592045],[871506.65499638],[1.91069822],[1.52767946e+08],[0.00859105],[0.0164149],[2684792.67309064],[1370505.99781237],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16891308],[0.13669082],[0.],[0.]
227,[0.05820334],[2405.18517604],3000000.0,[0.],[8.24217602e-09],[1.43431388],[1196.20452906],[874134.62904214],[1.9099186],[1.52901507e+08],[0.0086121],[0.01644841],[2694789.77703803],[1375559.61562014],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16890242],[0.13673027],[0.],[0.]
228,[0.05822056],[2405.18517604],3000000.0,[0.],[8.301928e-09],[1.44096949],[1195.60887111],[876765.66261791],[1.90914639],[1.53033299e+08],[0.00863309],[0.01648183],[2704786.67619076],[1380615.3346097],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16888857],[0.13676741],[0.],[0.]
229,[0.05823777],[2405.18517604],3000000.0,[0.],[8.36197587e-09],[1.44762947],[1195.01886629],[879399.78078227],[1.90838148],[1.53163323e+08],[0.00865402],[0.01651517],[2714783.37183004],[1385673.17141501],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16887155],[0.13680226],[0.],[0.]
230,[0.058255],[2405.18517604],3000000.0,[0.],[8.42232121e-09],[1.4542938],[1194.4344355],[882037.00843986],[1.90762379],[1.53291579e+08],[0.00867489],[0.01654843],[2724779.86520835],[1390733.14275693],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16885138],[0.13683485],[0.],[0.]
231,[0.05827223],[2405.18517604],3000000.0,[0.],[8.48296562e-09],[1.46096248],[1193.85550085],[884677.37034654],[1.9068732],[1.5341807e+08],[0.00869571],[0.01658161],[2734776.15754984],[1395795.26544542],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16882809],[0.1368652],[0.],[0.]
232,[0.05828947],[2405.18517604],3000000.0,[0.],[8.54391072e-09],[1.4676355],[1193.28198559],[887320.89111442],[1.90612962],[1.53542796e+08],[0.00871646],[0.01661471],[2744772.25005065],[1400859.55638162],0,100000.0,0,0,0,0,[100000.],[100000.],[0.1688017],[0.13689331],[0.],[0.]
233,[0.05830671],[2405.18517604],3000000.0,[0.],[8.60515812e-09],[1.47431287],[1192.71382359],[889967.59521695],[1.90539295],[1.53665759e+08],[0.00873716],[0.01664772],[2754768.14387927],[1405926.03256003],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16877222],[0.13691921],[0.],[0.]
234,[0.05832396],[2405.18517604],3000000.0,[0.],[8.66670945e-09],[1.48099458],[1192.15094531],[892617.50700485],[1.90466309],[1.53786961e+08],[0.0087578],[0.01668065],[2764763.84017687],[1410994.71107062],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16873969],[0.13694291],[0.],[0.]
235,[0.05834122],[2405.18517604],3000000.0,[0.],[8.72856636e-09],[1.48768062],[1191.5932638],[895270.65070633],[1.90393995],[1.53906401e+08],[0.00877838],[0.01671351],[2774759.34005762],[1416065.60910107],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16870411],[0.13696443],[0.],[0.]
236,[0.05835849],[2405.18517604],3000000.0,[0.],[8.7907305e-09],[1.49437097],[1191.04070676],[897927.05040993],[1.90322344],[1.54024081e+08],[0.00879891],[0.01674628],[2784754.64460901],[1421138.74393895],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16866552],[0.13698379],[0.],[0.]
237,[0.05837577],[2405.18517604],3000000.0,[0.],[8.85320354e-09],[1.50106565],[1190.49320291],[900586.73008493],[1.90251345],[1.54140001e+08],[0.00881937],[0.01677898],[2794749.75489213],[1426214.13297387],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16862393],[0.137001],[0.],[0.]
238,[0.05839305],[2405.18517604],3000000.0,[0.],[8.91598715e-09],[1.50776463],[1189.95068201],[903249.713586],[1.90180991],[1.54254163e+08],[0.00883979],[0.01681159],[2804744.67194198],[1431291.79369978],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16857936],[0.13701608],[0.],[0.]
239,[0.05841035],[2405.18517604],3000000.0,[0.],[8.97908302e-09],[1.51446792],[1189.41307483],[905916.0246579],[1.90111272],[1.54366566e+08],[0.00886014],[0.01684413],[2814739.39676774],[1436371.74371721],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16853184],[0.13702905],[0.],[0.]
240,[0.05842765],[2405.18517604],3000000.0,[0.],[9.04249286e-09],[1.5211755],[1188.88031312],[908585.68694008],[1.9004218],[1.54477213e+08],[0.00888044],[0.01687659],[2824733.93035308],[1441454.00073551],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16848138],[0.13703991],[0.],[0.]
241,[0.05844497],[2405.18517604],3000000.0,[0.],[9.10621838e-09],[1.52788737],[1188.35232961],[911258.72397126],[1.89973705],[1.54586103e+08],[0.00890069],[0.01690897],[2834728.27365639],[1446538.58257514],0,100000.0,0,0,0,0,[100000.],[100000.],[0.168428],[0.13704869],[0.],[0.]
242,[0.05846229],[2405.18517604],3000000.0,[0.],[9.1702613e-09],[1.53460353],[1187.82905797],[913935.15919392],[1.89905839],[1.54693238e+08],[0.00892088],[0.01694127],[2844722.42761103],[1451625.50717003],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16837172],[0.1370554],[0.],[0.]
243,[0.05847962],[2405.18517604],3000000.0,[0.],[9.23462336e-09],[1.54132396],[1187.3104328],[916615.0159588],[1.89838574],[1.54798618e+08],[0.00894102],[0.0169735],[2854716.39312562],[1456714.79256985],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16831257],[0.13706006],[0.],[0.]
244,[0.05849697],[2405.18517604],3000000.0,[0.],[9.29930631e-09],[1.54804867],[1186.7963896],[919298.31752933],[1.89771901],[1.54902244e+08],[0.0089611],[0.01700564],[2864710.17108427],[1461806.45694243],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16825055],[0.13706269],[0.],[0.]
245,[0.05851432],[2405.18517604],3000000.0,[0.],[9.36431191e-09],[1.55477764],[1186.28686478],[921985.08708601],[1.89705812],[1.55004116e+08],[0.00898112],[0.01703772],[2874703.76234676],[1466900.5185761],0,100000.0,0,0,0,0,[100000.],[100000.],[0.1681857],[0.13706328],[0.],[0.]
246,[0.05853169],[2405.18517604],3000000.0,[0.],[9.42964195e-09],[1.56151086],[1185.78179562],[924675.34773079],[1.896403],[1.55104236e+08],[0.0090011],[0.01706971],[2884697.16774884],[1471996.99588214],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16811802],[0.13706187],[0.],[0.]
247,[0.05854907],[2405.18517604],3000000.0,[0.],[9.49529821e-09],[1.56824834],[1185.28112023],[927369.12249139],[1.89575355],[1.55202603e+08],[0.00902102],[0.01710163],[2894690.38810239],[1477095.90739716],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16804753],[0.13705847],[0.],[0.]
248,[0.05856646],[2405.18517604],3000000.0,[0.],[9.56128249e-09],[1.57499006],[1184.7847776],[930066.43432556],[1.8951097],[1.55299218e+08],[0.00904089],[0.01713347],[2904683.42419566],[1482197.27178564],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16797426],[0.13705308],[0.],[0.]
249,[0.05858387],[2405.18517604],3000000.0,[0.],[9.62759661e-09],[1.58173602],[1184.29270751],[932767.3061254],[1.89447137],[1.55394082e+08],[0.0090607],[0.01716524],[2914676.27679345],[1487301.10784235],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16789821],[0.13704573],[0.],[0.]
250,[0.05860128],[2405.18517604],3000000.0,[0.],[9.6942424e-09],[1.58848621],[1183.80485056],[935471.76072155],[1.8938385],[1.55487195e+08],[0.00908046],[0.01719693],[2924668.94663732],[1492407.43449493],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16781941],[0.13703643],[0.],[0.]
251,[0.05861871],[2405.18517604],3000000.0,[0.],[9.7612217e-09],[1.59524062],[1183.32114812],[938179.82088738],[1.89321099],[1.55578557e+08],[0.00910018],[0.01722855],[2934661.43444576],[1497516.27080639],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16773788],[0.13702519],[0.],[0.]
252,[0.05863616],[2405.18517604],3000000.0,[0.],[9.82853637e-09],[1.60199925],[1182.84154236],[940891.50934323],[1.89258877],[1.55668168e+08],[0.00911983],[0.0172601],[2944653.74091437],[1502627.63597775],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16765363],[0.13701202],[0.],[0.]
253,[0.05865361],[2405.18517604],3000000.0,[0.],[9.89618829e-09],[1.60876209],[1182.36597619],[943606.8487605],[1.89197178],[1.5575603e+08],[0.00913944],[0.01729157],[2954645.86671604],[1507741.54935063],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16756668],[0.13699694],[0.],[0.]
254,[0.05867108],[2405.18517604],3000000.0,[0.],[9.96417934e-09],[1.61552914],[1181.89441631],[946325.86176583],[1.89135994],[1.55842144e+08],[0.009159],[0.01732296],[2964637.81250111],[1512858.03040989],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16747704],[0.13697997],[0.],[0.]
255,[0.05868857],[2405.18517604],3000000.0,[0.],[1.00325114e-08],[1.62230039],[1181.42679497],[949048.57098125],[1.89075317],[1.5592651e+08],[0.0091785],[0.01735428],[2974629.57889753],[1517977.09878636],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16738473],[0.13696111],[0.],[0.]
256,[0.05870607],[2405.18517604],3000000.0,[0.],[1.01011864e-08],[1.62907584],[1180.9630471],[951774.9989737],[1.89015141],[1.56009126e+08],[0.00919796],[0.01738553],[2984621.16651099],[1523098.77425953],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16728977],[0.13694038],[0.],[0.]
257,[0.05872358],[2405.18517604],3000000.0,[0.],[1.01702063e-08],[1.63585546],[1180.50311848],[954505.16826179],[1.88955458],[1.56089993e+08],[0.00921736],[0.01741671],[2994612.57592507],[1528223.07676031],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16719217],[0.13691779],[0.],[0.]
258,[0.05874111],[2405.18517604],3000000.0,[0.],[1.02395731e-08],[1.64263925],[1180.04695558],[957239.10133573],[1.88896262],[1.56169111e+08],[0.00923672],[0.01744781],[3004603.80770138],[1533350.02637383],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16709195],[0.13689335],[0.],[0.]
259,[0.05875866],[2405.18517604],3000000.0,[0.],[1.03092886e-08],[1.64942722],[1179.59450555],[959976.82066134],[1.88837546],[1.5624648e+08],[0.00925602],[0.01747884],[3014594.86237967],[1538479.64334231],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16698912],[0.13686708],[0.],[0.]
260,[0.05877622],[2405.18517604],3000000.0,[0.],[1.03793549e-08],[1.65621816],[1179.14373281],[962718.34868415],[1.88779302],[1.56321839e+08],[0.00927528],[0.0175098],[3024585.74047799],[1543611.94806788],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16688369],[0.13683899],[0.],[0.]
261,[0.0587938],[2405.18517604],3000000.0,[0.],[1.04497739e-08],[1.66300644],[1178.6851961],[965463.7032544],[1.88721525],[1.56393951e+08],[0.00929448],[0.01754069],[3034576.44249144],[1548746.96111407],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16677569],[0.13680908],[0.],[0.]
262,[0.0588114],[2405.18517604],3000000.0,[0.],[1.05205473e-08],[1.66979882],[1178.23031133],[968212.88045072],[1.88664204],[1.56464328e+08],[0.00931364],[0.01757151],[3044566.96888745],[1553884.70320238],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16666513],[0.13677739],[0.],[0.]
263,[0.05882901],[2405.18517604],3000000.0,[0.],[1.05916772e-08],[1.67659529],[1177.77902712],[970965.90287906],[1.88607332],[1.5653297e+08],[0.00933275],[0.01760225],[3054557.32011961],[1559025.19522712],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16655202],[0.1367439],[0.],[0.]
264,[0.05884664],[2405.18517604],3000000.0,[0.],[1.06631655e-08],[1.68339583],[1177.33129269],[973722.79313829],[1.88550904],[1.56599876e+08],[0.00935181],[0.01763293],[3064547.49662018],[1564168.45825455],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16643637],[0.13670864],[0.],[0.]
265,[0.05886429],[2405.18517604],3000000.0,[0.],[1.07350145e-08],[1.69020045],[1176.88705785],[976483.57382415],[1.88494913],[1.56665047e+08],[0.00937083],[0.01766353],[3074537.49880022],[1569314.51352597],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16631821],[0.13667162],[0.],[0.]
266,[0.05888195],[2405.18517604],3000000.0,[0.],[1.0807226e-08],[1.69700913],[1176.44627302],[979248.26753339],[1.88439353],[1.56728482e+08],[0.00938979],[0.01769407],[3084527.32704962],[1574463.3824609],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16619753],[0.13663285],[0.],[0.]
267,[0.05889963],[2405.18517604],3000000.0,[0.],[1.08798023e-08],[1.70382188],[1176.00888918],[982016.89686772],[1.88384218],[1.5679018e+08],[0.00940871],[0.01772453],[3094516.98173721],[1579615.08666026],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16607437],[0.13659233],[0.],[0.]
268,[0.05891734],[2405.18517604],3000000.0,[0.],[1.09527453e-08],[1.71063867],[1175.57485786],[984789.48443795],[1.88329501],[1.56850142e+08],[0.00942759],[0.01775493],[3104506.4632108],[1584769.64790959],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16594872],[0.13655009],[0.],[0.]
269,[0.05893506],[2405.18517604],3000000.0,[0.],[1.10260574e-08],[1.71745951],[1175.14413117],[987566.05286797],[1.88275197],[1.56908365e+08],[0.00944641],[0.01778525],[3114495.77179725],[1589927.0881824],0,100000.0,0,0,0,0,[100000.],[100000.],[0.1658206],[0.13650613],[0.],[0.]
270,[0.0589528],[2405.18517604],3000000.0,[0.],[1.10997405e-08],[1.72428438],[1174.71666174],[990346.62479883],[1.88221299],[1.56964851e+08],[0.00946519],[0.01781551],[3124484.90780254],[1595087.42964353],0,100000.0,0,0,0,0,[100000.],[100000.],[0.16569003],[0.13646046],[0.],[0.]
